id;jhi_type;description;reason
1;Cotton Helena Jewelery;bypassing Louisiana Berkshire;Chicken Global Handmade
2;Industrial Outdoors;Clothing Track;copy Assistant
3;Corporate redundant;Home Costa;Paradigm SSL Chips
4;primary deposit;Regional;Universal
5;scalable back Direct;haptic;Buckinghamshire neural
6;Alaska Product auxiliary;Bridge plum niches;info-mediaries
7;Frozen database;synthesize transmitting;District neutral
8;Bedfordshire;Michigan;Computers Intuitive initiatives
9;Cambridgeshire 1080p global;Market Soap;action-items
10;Awesome;hour overriding eyeballs;Loan Coves
